damage,street_type,fire_unit,incident_start_date,structure_type,structure_category,roof_material,eaves,exterior_siding,window_pane,attached_patio_material,attached_fence_material,year_built
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,1997
Affected (1-9%),Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,Combustible,1980
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,2004
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,Combustible,No Fence,1981
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Enclosed,Wood,Multi Pane,Combustible,No Fence,1980
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Wood,Single Pane,Combustible,No Fence,1978
Minor (10-25%),Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Single Pane,Combustible,Combustible,1992
Minor (10-25%),Road,LNU,6/6/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Stucco Brick Cement,Single Pane,Combustible,No Fence,1969
Destroyed (>50%),Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Unknown,Unknown,Wood,Unknown,Unknown,Unknown,1978
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,Combustible,No Fence,
Minor (10-25%),Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,Combustible,No Fence,1987
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,Combustible,No Fence,1988
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,Combustible,Combustible,1989
Affected (1-9%),Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Wood,Single Pane,Combustible,Combustible,1990
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,2000
Destroyed (>50%),Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Unknown,Unknown,Unknown,Multi Pane,Unknown,Unknown,1991
Affected (1-9%),Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Wood,No Windows,No Patio Cover/Carport,Non Combustible,1991
Affected (1-9%),Road,LNU,6/6/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Tile,Unenclosed,Stucco Brick Cement,Multi Pane,Combustible,Combustible,1990
Affected (1-9%),Road,LNU,6/6/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Enclosed,Wood,Multi Pane,Combustible,Combustible,
Affected (1-9%),Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Unenclosed,Wood,No Windows,Combustible,No Fence,1989
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,Combustible,Non Combustible,1972
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LNU,6/6/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Unknown,Unknown,Unknown,Unknown,1938
Destroyed (>50%),Road,LNU,6/6/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1938
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,Combustible,2006
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,Combustible,2004
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,Combustible,Combustible,1992
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Enclosed,Wood,Multi Pane,Combustible,No Fence,1968
Affected (1-9%),Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Tile,Enclosed,Wood,Multi Pane,Combustible,Combustible,1992
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Enclosed,Wood,Multi Pane,Combustible,No Fence,1980
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Metal,Single Pane,No Patio Cover/Carport,Non Combustible,1992
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Unenclosed,Metal,No Windows,No Patio Cover/Carport,No Fence,1968
Destroyed (>50%),Lane,LNU,6/6/2020 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Unknown,Unknown,Unknown,Unknown,Unknown,
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Mobile Home Double Wide,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,Unknown,Unknown,
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Motor Home,Single Residence,Metal,No Eaves,Metal,Multi Pane,No Patio Cover/Carport,No Fence,
Affected (1-9%),Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Enclosed,Wood,Multi Pane,Combustible,Combustible,1981
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Enclosed,Stucco Brick Cement,Multi Pane,Combustible,Combustible,1994
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,Combustible,Combustible,1977
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,1977
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Unenclosed,Wood,Multi Pane,Combustible,Non Combustible,1979
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,Non Combustible,No Fence,1988
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Enclosed,Wood,Multi Pane,Non Combustible,No Fence,1972
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,Non Combustible,No Fence,1980
Affected (1-9%),Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Enclosed,Stucco Brick Cement,Multi Pane,Non Combustible,Non Combustible,1984
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Tile,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,1990
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,2007
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,1914
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,Combustible,No Fence,1988
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Enclosed,Wood,Multi Pane,Combustible,No Fence,1981
No Damage,Other,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,Combustible,No Fence,1990
No Damage,Other,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,Combustible,No Fence,1990
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Tile,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,1990
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,1982
No Damage,Trail,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,1983
No Damage,Trail,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,1990
No Damage,Trail,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Concrete,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,2000
No Damage,Trail,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Other,Unenclosed,Stucco Brick Cement,Single Pane,No Patio Cover/Carport,No Fence,1984
No Damage,Trail,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Tile,Enclosed,Wood,Multi Pane,No Patio Cover/Carport,Non Combustible,1987
No Damage,Lane,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Metal,Multi Pane,No Patio Cover/Carport,Combustible,
Major (26-50%),Road,AEU,6/12/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Metal,No Windows,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Drive,BTU,6/17/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Combustible,2007
Destroyed (>50%),Drive,BTU,6/17/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Combustible,2007
Destroyed (>50%),Drive,BTU,6/17/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Combustible,2012
Minor (10-25%),Drive,BTU,6/17/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Combustible,2012
No Damage,Drive,BTU,6/17/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Combustible,2011
No Damage,Drive,BTU,6/17/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Combustible,2011
No Damage,Drive,BTU,6/17/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Combustible,2007
No Damage,Drive,BTU,6/17/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Combustible,2007
No Damage,Drive,BTU,6/17/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Combustible,2007
No Damage,Drive,BTU,6/17/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Combustible,2007
No Damage,Drive,BTU,6/17/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Combustible,2007
No Damage,Drive,BTU,6/17/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Combustible,2006
No Damage,Drive,BTU,6/17/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Combustible,2006
No Damage,Street,BTU,6/17/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Stucco Brick Cement,Multi Pane,Combustible,Combustible,1974
Affected (1-9%),None,SLU,6/15/2020 12:00:00 AM,Multi Family Residence Multi Story,Multiple Residence,Tile,Unenclosed,Stucco Brick Cement,Multi Pane,Non Combustible,Non Combustible,1989
Destroyed (>50%),Road,SKU,6/27/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,No Eaves,Wood,No Windows,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,SKU,6/27/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,1975
Destroyed (>50%),Road,SCU,7/5/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,Other,Single Pane,Combustible,No Fence,1999
Destroyed (>50%),Road,SCU,7/5/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Wood,Unknown,Unknown,No Fence,
Destroyed (>50%),Road,SCU,7/5/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unknown,Wood,Unknown,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,SCU,7/5/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Unknown,No Eaves,Unknown,Unknown,No Patio Cover/Carport,Unknown,
Destroyed (>50%),Road,BTU,7/13/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Metal,Multi Pane,No Patio Cover/Carport,No Fence,1900
Affected (1-9%),Road,BTU,7/13/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,2005
No Damage,Road,BTU,7/13/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,2006
Destroyed (>50%),Road,BEU,7/22/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,Combustible,
No Damage,Road,BEU,7/22/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,Combustible,No Fence,
No Damage,Road,BEU,7/22/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Wood,Unenclosed,Stucco Brick Cement,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,BEU,7/22/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Metal,No Windows,No Patio Cover/Carport,No Fence,2000
Destroyed (>50%),Road,LMU,7/18/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Metal,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/18/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Wood,Unenclosed,Wood,No Windows,No Patio Cover/Carport,No Fence,1940
Destroyed (>50%),Road,LMU,7/20/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/20/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,1976
Destroyed (>50%),Road,LMU,7/20/2020 12:00:00 AM,Motor Home,Single Residence,Metal,No Eaves,Metal,Unknown,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/20/2020 12:00:00 AM,Motor Home,Single Residence,Wood,No Eaves,Metal,Unknown,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/20/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Other,No Eaves,Other,No Windows,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/20/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Stucco Brick Cement,Single Pane,No Patio Cover/Carport,No Fence,2018
Destroyed (>50%),Road,LMU,7/20/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/20/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,LMU,7/20/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2011
No Damage,Road,LMU,7/20/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
No Damage,Road,LMU,7/20/2020 12:00:00 AM,Motor Home,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
No Damage,Way,LMU,7/20/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,
No Damage,None,LMU,7/20/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1987
No Damage,Trail,LMU,7/20/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1991
No Damage,Trail,LMU,7/20/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1991
No Damage,Other,LMU,7/20/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,Metal,Multi Pane,No Patio Cover/Carport,No Fence,2001
No Damage,Other,LMU,7/20/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Metal,Multi Pane,No Patio Cover/Carport,No Fence,2001
No Damage,Other,LMU,7/20/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Wood,No Windows,No Patio Cover/Carport,No Fence,2001
Destroyed (>50%),Road,LMU,7/20/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Unenclosed,Stucco Brick Cement,No Windows,No Patio Cover/Carport,No Fence,
No Damage,Road,LMU,7/20/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Vinyl,Multi Pane,Combustible,No Fence,
Destroyed (>50%),Road,LMU,7/20/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,2016
Destroyed (>50%),Road,LMU,7/20/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Other,No Eaves,Vinyl,Single Pane,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Road,LMU,7/20/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Metal,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,LMU,7/20/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,2005
No Damage,Road,LMU,7/20/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Metal,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,1950
No Damage,Road,LMU,7/20/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,1971
No Damage,Road,LMU,7/20/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Wood,Unenclosed,Wood,Single Pane,Combustible,No Fence,1971
No Damage,Road,LMU,7/20/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Wood,Unenclosed,Wood,Single Pane,Combustible,No Fence,1971
Minor (10-25%),Road,LMU,7/20/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Wood,Single Pane,No Patio Cover/Carport,No Fence,1971
Major (26-50%),Road,LMU,7/20/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Wood,No Windows,Combustible,No Fence,1971
Minor (10-25%),Road,LMU,7/20/2020 12:00:00 AM,Mixed Commercial/Residential,Mixed Commercial/Residential,Metal,No Eaves,Wood,No Windows,Combustible,No Fence,1971
Destroyed (>50%),Road,LMU,7/20/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Wood,No Windows,No Patio Cover/Carport,Combustible,1971
Minor (10-25%),Road,LMU,7/20/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Wood,No Windows,Combustible,Combustible,1971
Minor (10-25%),Road,LMU,7/20/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Wood,No Eaves,Wood,No Windows,Combustible,Combustible,1971
Destroyed (>50%),Road,SLU,7/28/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,No Patio Cover/Carport,No Fence,1950
Destroyed (>50%),Road,SLU,7/28/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Wood,Unknown,Stucco Brick Cement,Unknown,No Patio Cover/Carport,Unknown,1950
Destroyed (>50%),Road,SLU,7/28/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Unknown,Unenclosed,Wood,Unknown,No Patio Cover/Carport,No Fence,1950
Destroyed (>50%),Trail,SLU,7/28/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Other,Single Pane,No Patio Cover/Carport,No Fence,1979
Destroyed (>50%),Trail,SLU,7/28/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Wood,Unknown,Wood,Unknown,No Patio Cover/Carport,No Fence,1979
Destroyed (>50%),Trail,SLU,7/28/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Unknown,No Eaves,Unknown,Unknown,No Patio Cover/Carport,No Fence,1979
Destroyed (>50%),Road,SLU,7/28/2020 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Other,Unknown,No Patio Cover/Carport,No Fence,
Destroyed (>50%),Way,SLU,7/28/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Unknown,No Eaves,Other,Unknown,No Patio Cover/Carport,No Fence,
No Damage,Avenue,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Non Combustible,1992
No Damage,Avenue,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Concrete,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Non Combustible,1997
No Damage,Avenue,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,1976
No Damage,Avenue,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,Combustible,No Fence,
No Damage,Avenue,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Enclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,Non Combustible,1991
Destroyed (>50%),Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Avenue,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Tile,Enclosed,Stucco Brick Cement,Single Pane,Combustible,Non Combustible,1978
No Damage,Avenue,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Single Pane,No Patio Cover/Carport,Non Combustible,1977
No Damage,Avenue,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,No Fence,1973
No Damage,Avenue,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Tile,Enclosed,Stucco Brick Cement,Single Pane,Non Combustible,Non Combustible,1978
No Damage,Avenue,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Tile,Enclosed,Stucco Brick Cement,Single Pane,Non Combustible,Non Combustible,1978
Minor (10-25%),Street,RRU,7/31/2020 12:00:00 AM,Commercial Building Single Story,Nonresidential Commercial,Asphalt,Enclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,
Major (26-50%),Street,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Single Pane,Combustible,No Fence,
Destroyed (>50%),Road,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,No Eaves,Stucco Brick Cement,Single Pane,Combustible,No Fence,
Major (26-50%),Road,RRU,7/31/2020 12:00:00 AM,Mobile Home Triple Wide,Single Residence,Asphalt,Enclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,1979
Major (26-50%),Road,RRU,7/31/2020 12:00:00 AM,Infrastructure,Infrastructure,Concrete,Enclosed,Stucco Brick Cement,No Windows,No Patio Cover/Carport,No Fence,
No Damage,Street,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,
Minor (10-25%),Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Single Pane,Combustible,No Fence,1979
Destroyed (>50%),Road,RRU,7/31/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Stucco Brick Cement,No Windows,Combustible,Combustible,1979
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,Combustible,No Fence,
No Damage,Road,RRU,7/31/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Tile,Enclosed,Stucco Brick Cement,Multi Pane,Combustible,No Fence,1991
Destroyed (>50%),Road,SLU,8/1/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Metal,Unknown,Wood,Single Pane,No Patio Cover/Carport,No Fence,1981
