damage,street_type,fire_unit,incident_start_date,structure_type,structure_category,roof_material,eaves,exterior_siding,window_pane,attached_patio_material,attached_fence_material,year_built
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,Non Combustible,1994
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,2012
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,Non Combustible,1935
Affected (1-9%),Way,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Enclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,Non Combustible,2004
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1993
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1948
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,Non Combustible,1972
Destroyed (>50%),Way,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,Non Combustible,0
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,Non Combustible,1949
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1949
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Combustible,Non Combustible,1951
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1951
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1951
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Enclosed,Combustible,Multi Pane,Combustible,Non Combustible,1976
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Enclosed,Combustible,Multi Pane,Non Combustible,Non Combustible,1974
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,Non Combustible,1967
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Multi Pane,No Patio Cover/Carport,Non Combustible,1945
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,Non Combustible,No Fence,1945
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Multi Pane,No Patio Cover/Carport,Non Combustible,1977
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Multi Pane,No Patio Cover/Carport,Non Combustible,1978
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Multi Pane,Combustible,Non Combustible,1977
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Multi Pane,Combustible,Non Combustible,1978
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Multi Pane,Combustible,Non Combustible,1977
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Multi Pane,Combustible,Non Combustible,1977
Affected (1-9%),Court,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1977
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,Non Combustible,1977
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1980
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1977
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,Non Combustible,1977
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1977
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Multi Pane,Combustible,Non Combustible,1977
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Multi Pane,Combustible,Non Combustible,1978
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Ignition Resistant,Multi Pane,Combustible,Non Combustible,1955
Affected (1-9%),Court,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1955
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1990
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Ignition Resistant,Multi Pane,Combustible,No Fence,1930
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Ignition Resistant,Unknown,No Patio Cover/Carport,No Fence,1930
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unknown,Ignition Resistant,Multi Pane,Combustible,No Fence,1955
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Ignition Resistant,Unknown,No Patio Cover/Carport,No Fence,1955
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Combustible,Multi Pane,Combustible,No Fence,1948
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Combustible,Unknown,No Patio Cover/Carport,Non Combustible,1947
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Ignition Resistant,Multi Pane,No Patio Cover/Carport,Non Combustible,1950
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1950
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Ignition Resistant,Unknown,No Patio Cover/Carport,Unknown,1950
Destroyed (>50%),Drive,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Enclosed,Ignition Resistant,Multi Pane,Combustible,No Fence,1960
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Other,Enclosed,Ignition Resistant,Multi Pane,Combustible,Non Combustible,1970
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,No Windows,Combustible,No Fence,1970
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,Non Combustible,1950
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Ignition Resistant,Multi Pane,Combustible,Combustible,1950
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,Combustible,1950
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Combustible,Single Pane,Combustible,No Fence,1935
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1935
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,Combustible,No Fence,1975
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,No Patio Cover/Carport,Non Combustible,1976
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Motor Home,Single Residence,Metal,Enclosed,Ignition Resistant,Single Pane,No Patio Cover/Carport,Non Combustible,1976
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,Combustible,No Fence,1975
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Double Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,Combustible,Combustible,1974
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,Combustible,No Fence,1973
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Mobile Home Triple Wide,Single Residence,Asphalt,Enclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,2001
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Ignition Resistant,Multi Pane,Combustible,No Fence,1930
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Metal,Enclosed,Ignition Resistant,Multi Pane,No Patio Cover/Carport,No Fence,1930
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Combustible,Multi Pane,Combustible,Non Combustible,1994
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unknown,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1992
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unknown,Ignition Resistant,Multi Pane,No Patio Cover/Carport,Non Combustible,1989
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,No Fence,1989
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,Unknown,Non Combustible,1966
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unknown,Combustible,Single Pane,Unknown,Non Combustible,1966
Destroyed (>50%),,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,No Eaves,Ignition Resistant,Single Pane,Non Combustible,No Fence,1970
Destroyed (>50%),,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1970
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1969
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Combustible,Single Pane,No Patio Cover/Carport,No Fence,1969
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Mobile Home Single Wide,Single Residence,Metal,Enclosed,Combustible,Single Pane,Combustible,No Fence,1900
Destroyed (>50%),Road,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,No Patio Cover/Carport,Non Combustible,1965
Destroyed (>50%),Lane,BTU,11/8/2018 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Combustible,Multi Pane,Unknown,Combustible,1945
